plot;date;plant;aggr;JUMP;needle;t-1_w;t-1_st;t-1_a;Hyp;oHyp;oJUMP;oBITE;;;;;;
Nh-04_ext;01.08.2018;Alpha;2;0;0;kA;kA;kA;0;0;0;0;;;;;;
Nh-04_ext;01.08.2018;Alpha;6;0;0;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;06.08.2018;Beta;6,5;0;0;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;06.08.2018;Beta;4;0;0;1;0;0;kA;0;0;0;;;;;;
Nh-04_ext;06.08.2018;Beta;5;0;0;0;0;1;kA;0;0;0;;;;;;
Nh-04_ext;06.08.2018;Beta;6;0;0;1;0;0;kA;0;1;0;;;;;;
Nh-04_ext;06.08.2018;Beta;3;0;1;0;0;1;kA;0;0;0;;;;;;
Nh-04_ext;06.08.2018;Beta;6,5;1;0;0;1;0;kA;0;1;0;;;;;;
Nh-04_ext;06.08.2018;Beta;6;0;0;0;0;1;kA;0;0;0;;;;;;
Nh-04_ext;06.08.2018;Beta;6;0;0;1;0;0;kA;0;0;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;7;0;0;1;0;0;0;0;0;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;6,5;0;0;0;0;1;kA;0;0;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;7;0;0;0;0;1;kA;0;0;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;6;1;0;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;6,5;1;0;1;0;0;1;0;3;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;6,5;1;0;1;0;0;1;0;0;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;3;0;0;1;0;0;1;0;0;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;7;1;0;0;0;1;0;0;0;0;;;;;;
Nh-04_ext;11.08.2018;Ceta;6,5;1;0;1;0;0;1;0;0;0;;;;;;
Nh-04_ext;17.08.2018;Ceta;6;0;0;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;17.08.2018;Ceta;6;0;0;1;0;0;0;0;0;0;;;;;;
Nh-04_ext;17.08.2018;Ceta;6,5;1;0;kA;kA;kA;1;1;0;0;;;;;;
Nh-04_ext;17.08.2018;Ceta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;17.08.2018;Ceta;4;0;0;0;0;1;0;0;0;0;;;;;;
Nh-04_ext;17.08.2018;Ceta;4;0;0;0;1;0;1;0;0;0;;;;;;
Nh-04_ext;17.08.2018;Ceta;6,5;1;0;0;0;1;1;3;0;0;;;;;;
Nh-04_ext;17.08.2018;Ceta;6,5;0;0;1;0;0;1;2;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;6,5;1;0;1;0;0;1;0;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;6;0;0;0;0;1;0;0;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;7;0;1;0;0;1;1;1;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;7;0;1;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;7;0;1;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;4;0;0;1;0;0;1;0;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;6,5;0;1;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;6,5;0;1;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;6,5;0;1;0;0;1;1;0;0;0;;;;;;
Nh-04_ext;22.08.2018;Ceta;6;0;0;1;0;0;0;0;0;0;;;;;;
Nh-04;27.08.2018;Delta;3;0;0;1;0;0;0;0;0;0;;;;;;
Nh-04;27.08.2018;Delta;6;0;1;1;0;0;1;0;0;1;;;;;;
Nh-04;27.08.2018;Delta;6;0;1;0;0;1;1;0;0;0;;;;;;
Nh-04;27.08.2018;Delta;6,5;1;0;0;0;0;1;0;0;0;;;;;;
Nh-04;27.08.2018;Delta;5;0;0;0;0;1;1;0;0;0;;;;;;
Nh-04;27.08.2018;Delta;6;0;0;0;1;0;0;0;0;0;;;;;;
Nh-04;27.08.2018;Delta;6;0;1;0;0;1;0;0;0;0;;;;;;
Nh-04;27.08.2018;Delta;4;0;0;0;0;1;0;0;1;0;;;;;;
Nh-04;27.08.2018;Delta;6;0;0;0;0;1;1;0;0;0;;;;;;
Nh-04;27.08.2018;Delta;4;0;0;1;0;0;0;1;0;0;;;;;;
Nl-55;01.08.2018;Alpha;6;0;0;1;0;0;kA;0;0;0;;;;;;
Nl-55;01.08.2018;Alpha;6,5;1;0;0;0;1;kA;0;0;0;;;;;;
Nl-55;01.08.2018;Alpha;2;0;0;1;0;0;0;0;0;0;;;;;;
Nl-55;01.08.2018;Alpha;1;0;0;0;0;1;kA;0;0;0;;;;;;
Nl-55;01.08.2018;Alpha;2;0;1;kA;kA;kA;0;0;0;0;;;;;;
Nl-55;01.08.2018;Alpha;2;0;0;kA;kA;kA;0;0;0;0;;;;;;
Nl-55;01.08.2018;Alpha;4;0;0;kA;kA;kA;kA;0;0;0;;;;;;
Nl-55;06.08.2018;Alpha;4;0;0;kA;kA;kA;kA;0;0;0;;;;;;
Nl-55;06.08.2018;Alpha;2;0;0;1;0;0;0;;;;;;;;;
Nl-55;14.08.2018;Alpha;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nl-55;14.08.2018;Alpha;7;1;0;kA;kA;kA;1;0;0;0;;;;;;
Nl-55;14.08.2018;Alpha;6,5;1;0;0;1;0;1;0;0;0;;;;;;
Nl-55;14.08.2018;Alpha;6;0;0;0;0;1;0;0;0;0;;;;;;
Nl-55;14.08.2018;Alpha;4;0;0;kA;kA;kA;1;0;0;0;;;;;;
Nl-55;14.08.2018;Alpha;3;0;0;kA;kA;kA;0;0;0;0;;;;;;
Nl-55;14.08.2018;Alpha;6,5;1;0;1;0;0;1;0;0;0;;;;;;
Nl-55;14.08.2018;Alpha;6,5;1;0;kA;kA;kA;0;0;0;0;;;;;;
Nl-55;17.08.2018;Beta;6,5;0;0;1;0;0;kA;0;0;0;;;;;;
Nl-55;17.08.2018;Beta;7;0;0;0;0;1;kA;0;0;0;;;;;;
Nl-55;17.08.2018;Beta;6,5;1;0;0;0;1;kA;0;0;0;;;;;;
Nl-55;17.08.2018;Beta;6,5;1;0;1;0;0;kA;0;0;0;;;;;;
Nl-55;17.08.2018;Beta;6;0;0;0;0;1;kA;0;0;0;;;;;;
Nl-55;19.08.2018;Beta;6;0;0;1;0;0;1;0;0;0;;;;;;
Nl-55;19.08.2018;Beta;6,5;1;0;1;0;0;1;0;0;0;;;;;;
Nl-55;19.08.2018;Beta;6,5;1;0;0;0;1;1;2;0;0;;;;;;
Nl-55;19.08.2018;Beta;6,5;1;0;0;0;1;0;0;0;0;;;;;;
Nl-55;19.08.2018;Beta;6,5;1;0;0;0;1;1;4;0;0;;;;;;
Nl-55;19.08.2018;Beta;7;0;1;0;1;0;1;0;0;0;;;;;;
Nl-55;19.08.2018;Beta;6,5;1;0;0;1;0;1;0;2;0;;;;;;
Nl-55;22.08.2018;Beta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nl-55;22.08.2018;Beta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nl-55;22.08.2018;Beta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nl-55;22.08.2018;Beta;6,5;1;0;1;0;0;1;0;0;0;;;;;;
Nl-55;22.08.2018;Beta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nl-55;22.08.2018;Beta;6,5;1;0;1;0;0;1;0;0;0;;;;;;
Nl-55;27.08.2018;Ceta;6;0;0;1;0;0;1;0;0;0;;;;;;
Nl-55;27.08.2018;Ceta;4;0;0;0;0;1;0;0;0;0;;;;;;
Nl-55;27.08.2018;Ceta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nl-55;27.08.2018;Ceta;6,5;1;0;0;0;1;0;1;0;0;;;;;;
Nl-55;27.08.2018;Ceta;1;0;0;1;0;0;1;0;0;0;;;;;;
Nl-55;27.08.2018;Ceta;6,5;1;0;1;0;0;0;0;0;0;;;;;;
Nl-55;27.08.2018;Ceta;6;0;1;0;0;1;1;0;0;0;;;;;;
Nl-55;27.08.2018;Ceta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nl-55;27.08.2018;Ceta;6,5;1;0;0;0;1;1;0;1;0;;;;;;
Nl-55;27.08.2018;Ceta;1;0;0;1;0;0;1;0;0;0;;;;;;
Nl-55;27.08.2018;Ceta;3;0;0;1;0;0;0;0;0;0;;;;;;
Ol-55_ext1;02.08.2018;Alpha;1;0;0;kA;kA;kA;0;0;0;0;;;;;;
Ol-55_ext1;02.08.2018;Alpha;3;0;0;kA;kA;kA;0;0;0;0;;;;;;
Ol-55_ext1;02.08.2018;Alpha;4;0;0;kA;kA;kA;0;0;0;0;;;;;;
Ol-55_ext1;12.08.2018;Beta;7;0;0;kA;kA;kA;1;5;0;0;;;;;;
Ol-55_ext1;12.08.2018;Beta;7;1;0;0;0;1;1;0;0;0;;;;;;
Ol-55_ext1;12.08.2018;Beta;6;0;1;1;0;0;0;0;0;0;;;;;;
Ol-55_ext1;12.08.2018;Beta;4;0;0;0;1;0;1;0;0;0;;;;;;
Ol-55_ext1;12.08.2018;Beta;6,5;1;0;1;0;0;1;0;0;0;;;;;;
Ol-55_ext1;16.08.2018;Beta;6;0;1;0;0;1;0;0;0;0;;;;;;
Ol-55_ext1;16.08.2018;Beta;1;0;0;1;0;0;1;0;0;0;left plant;;;;;
Ol-55_ext1;21.08.2018;Ceta;7;0;0;1;0;0;1;0;0;0;;;;;;
Ol-55_ext1;21.08.2018;Ceta;4;0;0;0;0;1;0;0;0;0;;;;;;
Ol-55_ext1;21.08.2018;Ceta;6;0;0;kA;kA;kA;1;0;0;0;;;;;;
Ol-55_ext1;21.08.2018;Ceta;5;0;0;0;0;1;0;2;0;0;;;;;;
Ol-55_ext1;21.08.2018;Ceta;7;0;0;kA;kA;kA;1;0;0;0;;;;;;
Ol-55_ext1;24.08.2018;Ceta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Ol-55_ext1;24.08.2018;Ceta;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Ol-55_ext1;24.08.2018;Ceta;1;0;0;1;0;0;1;0;0;0;;;;;;
Ol-55_ext1;24.08.2018;Ceta;4;0;0;1;0;0;0;0;0;0;;;;;;
Ol-55_ext1;24.08.2018;Ceta;6,5;1;0;1;0;0;1;0;0;0;;;;;;
Ol-55_ext1;24.08.2018;Ceta;7;0;1;0;0;1;0;0;0;0;;;;;;
Ol-55_ext2;25.08.2018;Delta;4;0;0;0;0;1;0;0;0;0;;;;;;
Ol-55_ext2;25.08.2018;Delta;6;0;1;1;0;0;0;0;0;0;;;;;;
Ol-55_ext2;25.08.2018;Delta;6,5;1;0;0;0;1;0;0;1;0;;;;;;
Ol-55_ext2;25.08.2018;Delta;7;1;0;1;0;0;0;0;0;0;;;;;;
Ol-55_ext2;25.08.2018;Delta;6;0;1;0;0;1;0;0;0;0;;;;;;
Ol-55_ext2;25.08.2018;Delta;6;0;1;0;0;1;1;0;0;0;;;;;;
Ol-55_ext2;25.08.2018;Delta;4;0;1;0;0;1;0;0;0;0;;;;;;
Ol-55_ext2;25.08.2018;Delta;4;0;0;1;0;0;0;0;0;0;;;;;;
Ol-55_ext2;25.08.2018;Delta;6;0;1;0;0;1;0;0;0;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;4;0;0;1;0;0;1;0;0;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;6;0;0;0;0;1;1;0;0;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;4;0;0;1;0;0;1;0;0;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;1;0;0;0;1;0;1;0;2;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;6,5;1;0;0;0;1;1;0;1;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;4;0;0;1;0;0;1;0;0;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;3;0;0;1;0;0;1;0;0;0;;;;;;
Ol-55_ext2;29.08.2018;Gamma;6;0;0;0;0;1;1;0;0;1;;;;;;
Nl-200_ext;02.08.2018;Alpha;2;0;0;kA;kA;kA;0;0;0;0;;;;;;
Nl-200_ext;02.08.2018;Alpha;2;0;0;kA;kA;kA;0;0;0;0;;;;;;
Nl-200_ext;02.08.2018;Alpha;6;1;0;kA;kA;kA;1;0;0;0;;;;;;
Nl-200_ext;02.08.2018;Alpha;4;0;1;kA;kA;kA;0;0;0;0;;;;;;
Nl-200_ext;02.08.2018;Alpha;2;0;0;kA;kA;kA;0;0;0;0;;;;;;
Nl-200_ext;02.08.2018;Alpha;7;0;0;kA;kA;kA;1;0;0;0;;;;;;
Nl-200_ext;02.08.2018;Alpha;7;0;0;kA;kA;kA;0;0;0;0;;;;;;
Nl-200_ext;02.08.2018;Alpha;3;0;1;kA;kA;kA;0;0;0;0;;;;;;
Nl-200_ext;02.08.2018;Alpha;1;0;0;kA;kA;kA;1;0;0;0;;;;;;
Nl-200_ext;07.08.2018;Alpha;6;0;0;0;1;0;kA;0;0;0;;;;;;
Nl-200_ext;07.08.2018;Alpha;1;0;0;1;0;0;kA;0;0;0;;;;;;
Nl-200_ext;07.08.2018;Alpha;1;0;0;1;0;0;kA;0;0;0;;;;;;
Nl-200_ext;07.08.2018;Alpha;6,5;1;0;0;0;1;kA;0;0;0;;;;;;
Nl-200_ext;07.08.2018;Alpha;6,5;1;0;0;1;0;kA;0;0;0;;;;;;
Nl-200_ext;07.08.2018;Alpha;7;0;0;0;1;0;0;0;0;0;;;;;;
Nl-200_ext;12.08.2018;Alpha;6;0;0;0;0;1;0;0;0;0;;;;;;
Nl-200_ext;12.08.2018;Alpha;6;0;0;0;0;1;0;0;0;0;;;;;;
Nl-200_ext;12.08.2018;Alpha;6;0;0;0;0;1;0;0;0;0;;;;;;
Nl-200_ext;12.08.2018;Alpha;6;0;0;0;0;1;1;0;0;0;;;;;;
Nl-200_ext;12.08.2018;Alpha;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nl-200_ext;12.08.2018;Alpha;6,5;1;0;0;0;1;1;0;0;0;;;;;;
Nl-200_ext;12.08.2018;Alpha;3;0;0;1;0;0;0;0;0;0;;;;;;
Nl-200_ext;16.08.2018;Alpha;2;0;0;0;0;1;0;0;0;0;;;;;;
Nl-200_ext;16.08.2018;Alpha;6,5;0;1;0;0;1;0;0;0;0;;;;;;
Nl-200_ext;16.08.2018;Alpha;6;0;0;1;0;0;0;0;0;0;;;;;;
Nl-200_ext;16.08.2018;Alpha;6;1;0;0;1;0;1;0;0;0;;;;;;
Nl-200_ext;16.08.2018;Alpha;7;1;0;0;1;0;0;0;0;0;;;;;;
Nl-200_ext;16.08.2018;Alpha;3;0;0;0;0;1;0;0;0;0;;;;;;
Nl-200_ext;16.08.2018;Alpha;7;0;0;0;0;1;0;0;0;0;;;;;;
Nl-200_ext;16.08.2018;Alpha;6;0;0;0;0;1;1;0;0;0;;;;;;
Ol-11_ext;03.08.2018;Alpha;4;0;0;1;0;0;0;0;0;0;;;;;;
Ol-11_ext;03.08.2018;Alpha;6;0;0;kA;kA;kA;0;0;0;0;wanted to eat the needle;;;;;
Ol-11_ext;03.08.2018;Alpha;3;0;0;kA;kA;kA;0;0;0;0;;;;;;
Ol-11_ext;03.08.2018;Alpha;6,5;0;0;0;0;1;0;0;0;0;;;;;;
Ol-11_ext;03.08.2018;Alpha;6,5;0;0;0;0;1;0;0;0;0;;;;;;
Ol-11_ext;03.08.2018;Alpha;1;0;0;kA;kA;kA;0;0;0;0;;;;;;
Ol-11_ext;03.08.2018;Alpha;1;0;0;kA;kA;kA;0;0;0;0;;;;;;
Ol-11_ext;08.08.2018;Beta;3;0;0;0;0;1;0;0;0;0;;;;;;
Ol-11_ext;08.08.2018;Beta;6,5;0;0;0;0;1;kA;0;0;0;;;;;;
Ol-11_ext;08.08.2018;Beta;6;0;0;0;0;1;kA;0;0;0;;;;;;
Ol-11_ext;08.08.2018;Beta;5;1;0;0;0;1;kA;0;0;0;;;;;;
Ol-11_ext;08.08.2018;Beta;6,5;0;0;0;0;1;kA;0;0;0;;;;;;
Ol-11_ext;08.08.2018;Beta;7;0;0;0;1;0;kA;0;0;0;;;;;;
Ol-11_ext;08.08.2018;Beta;6;0;0;1;0;0;kA;0;0;0;;;;;;
Ol-11_ext;08.08.2018;Beta;6,5;0;0;0;0;1;kA;0;0;0;;;;;;
Ol-11_ext;13.08.2018;Ceta;6;0;1;0;1;0;0;0;0;0;;;;;;
Ol-11_ext;13.08.2018;Ceta;7;0;0;1;0;0;0;0;0;0;;;;;;
Ol-11_ext;13.08.2018;Ceta;1;0;0;1;0;0;1;0;0;0;;;;;;
Ol-11_ext;13.08.2018;Ceta;6,5;1;0;0;1;0;0;0;0;0;;;;;;
Ol-11_ext;13.08.2018;Ceta;7;0;0;0;0;1;kA;0;0;0;;;;;;
Ol-11_ext;13.08.2018;Ceta;6;0;0;1;0;0;kA;0;0;0;;;;;;
Ol-11_ext;13.08.2018;Ceta;6,5;1;0;1;0;0;kA;0;0;0;;;;;;
Ol-11_ext;18.08.2018;Alpha;6;0;0;0;0;1;1;3;0;0;;;;;;
Ol-11_ext;18.08.2018;Alpha;6,5;1;0;0;0;1;1;0;0;0;;;;;;
