plot;date;monthSeason;sun;clouds;wind;temp1;temp2;temp3;time1;time2;time3;others;pollen;explore;other ant;predator
Nh-04_ext;01.08.2018;begin;1;0;0;26,6;27,4;27,1;9h33;9h56;10h08;kA;kA;kA;;
Nh-04_ext;06.08.2018;begin;1;0;0;24;kA;28,4;9h08;9h57;10h11;kA;1;kA;;
Nh-04_ext;11.08.2018;mid;0;1;;19,9;17,7;17,6;9h11;10h10;10h21;1;0;1;;
Nh-04_ext;17.08.2018;mid;1;0;0;20,5;21,9;26,8;8h57;kA;9h53;2;0;0;;
Nh-04_ext;22.08.2018;end;1;0;0;17,4;20,1;22,2;8h55;9h30;10h00;1;0;0;;
Nh-04;27.08.2018;end;0;1;1;16,9;18,3;19,1;8h55;9h34;9h50;5;1;0;;
Nl-55;01.08.2018;begin;1;1;0;32,4;32,2;kA;10h48;11h18;11h35;kA;kA;kA;;
Nl-55;06.08.2018;begin;1;0;0;24,9;25,6;25,4;11h11;11h40;11h52;kA;1;kA;;
Nl-55;14.08.2018;mid;1;1;1;18,8;20,4;20,9;8h41;9h30;9h40;4;0;0;;
Nl-55;17.08.2018;mid;1;0;0;27,9;kA;30,2;11h10;kA;11h30;2;0;0;;
Nl-55;19.08.2018;mid;1;0;0;20,3;22,3;21,8;9h10;9h40;10h00;3;0;0;;
Nl-55;22.08.2018;end;1;0;0;23,3;26,8;24,9;11h05;11h40;11h55;0;0;0;;
Nl-55;27.08.2018;end;0;1;1;19;19,3;20,5;11h12;11h53;12h05;4;0;0;;
Ol-55_ext1;02.08.2018;begin;0;1;0;20,6;22,3;22,5;8h45;9h25;9h36;kA;1;kA;;
Ol-55_ext1;12.08.2018;mid;1;0;0;23,3;25,7;kA;11h15;11h40;kA;2;1;1;;
Ol-55_ext1;16.08.2018;mid;1;0;0;27,3;28,9;29,9;11h37;12h03;12h10;1;1;1;;
Ol-55_ext1;21.08.2018;end;1;0;0;19;24,4;21,8;10h45;11h00;11h21;1;1;0;;
Ol-55_ext1;24.08.2018;end;0;1;1;23,6;24,3;23,6;10h55;11h40;11h53;1;1;1;;
Ol-55_ext2;25.08.2018;end;0;1;1;22,6;22;22,5;9h18;9h52;10h10;>20;0;0;;
Ol-55_ext2;29.08.2018;end;1;0;0;18,5;21,7;22,2;9h28;9h45;9h59;>20;0;0;;
Nl-200_ext;02.08.2018;begin;1;0;0;29,1;30,7;30,2;10h56;11h25;11h34;1;1;kA;;
Nl-200_ext;07.08.2018;begin;1;0;0;21,9;27,1;28,6;9h00;9h40;9h51;1;kA;kA;;
Nl-200_ext;12.08.2018;mid;1;0;0;18,1;18;20,5;8h35;9h25;9h42;1;kA;kA;;
Nl-200_ext;16.08.2018;mid;1;0;0;20,3;24,9;24,9;8h47;9h40;9h54;1;1;kA;;
Ol-11_ext;03.08.2018;begin;1;1;0;21,6;24,7;28;9h14;9h55;10h06;5;kA;kA;;
Ol-11_ext;08.08.2018;begin;1;0;0;21,6;26;26,9;9h04;9h45;10h01;1;1;1;;
Ol-11_ext;13.08.2018;mid;1;0;0;18,3;20,3;21,2;9h01;9h40;10h00;2;kA;kA;;
Ol-11_ext;18.08.2018;mid;0;1;0;24;23,8;25,3;11h13;11h46;11h57;3;kA;kA;;
Ol-11_ext;25.08.2018;end;0;1;0;16,6;18,1;18,3;9h02;9h30;9h50;1;1;0;;
Ol-11_ext;31.08.2018;end;0;1;0;15,3;15,4;15,4;9h16;9h46;10h17;3;kA;;;
Nh-10;03.08.2018;begin;1;0;0;27,1;26,6;28,5;11h13;11h46;11h55;1;kA;kA;;
Nh-10;08.08.2018;begin;1;1;0;31,9;33,9;32,4;11h05;11h40;11h51;1;1;kA;;
Nh-10;13.08.2018;mid;1;1;0;27,1;28;26,4;11h16;11h38;11h45;1;1;1;;
Nh-10_ext;18.08.2018;mid;1;1;0;22,2;21,6;22,8;9h15;9h55;10h12;2;kA;kA;;
Nh-10_ext;23.08.2018;end;1;0;0;26,3;27;25,6;9h01;9h27;9h50;4;0;0;;
Nh-10_ext;25.08.2018;end;1;0;0;20;22;22,6;11h06;11h50;12h00;3;1;0;;
Nh-10_ext;31.08.2018;end;0;1;1;17,1;18,3;18,1;11h09;11h500;12h05;4;0;0;;
Oh-02_ext;04.08.2018;begin;1;0;0;19,9;28,1;30,6;8h55;9h48;9h59;8;1;kA;;
Oh-02_ext;09.08.2018;begin;1;0;1;20,3;23,9;30,9;9h05;10h02;10h10;7;kA;kA;;
Oh-02_ext;15.08.2018;mid;1;1;1;18,9;19,7;20,3;9h14;10h00;10h10;5;kA;kA;;
Oh-02_ext;20.08.2018;mid;1;1;1;21,9;24,7;23,9;9h05;10h00;10h23;7;kA;kA;;
Oh-02_ext;26.08.2018;end;1;0;1;15,9;18,8;17,1;9h21;10h10;10h23;8;kA;kA;;
Oh-02_ext;01.09.2018;end;1;0;0;18,3;24,1;24,8;9h00;9h50;10h13;14;kA;kA;;
Om-02;04.08.2018;begin;1;0;0;36,6;35,9;36,6;11h35;12h00;12h15;1;kA;1;;
Om-02;09.08.2018;begin;1;0;0;30,9;31,4;33,9;11h03;11h37;11h47;1;1;1;;
Om-02_ext;20.08.2018;mid;0;1;0;22,9;23,1;22,8;11h20;11h50;12h10;2;kA;kA;;
Om-02_ext;23.08.2018;end;1;0;0;28,7;28,6;29,4;11h18;11h50;12h05;3;kA;kA;;
Om-02_ext;26.08.2018;end;1;1;1;16,4;19;19,2;11h18;11h54;12h16;3;kA;kA;;
Om-02_ext;01.09.2018;end;1;1;0;18,1;20,1;20,8;11h09;11h43;12h00;2;kA;kA;;
Nh-05_ext;05.08.2018;begin;1;1;1;23,4;22,8;23,8;11h03;11h38;11h48;1;1;1;;
Nh-05_ext;10.08.2018;begin;0;1;1;20,5;21,7;22,9;10h47;11h30;11h52;1;1;1;;
Nh-05_ext;14.08.2018;mid;1;1;1;22;21;25,8;10h44;11h40;11h51;1;1;1;;
Nh-05_ext;19.08.2018;mid;1;0;1;28,8;31,1;31,9;11h00;11h35;11h50;1;1;1;;
